Drug_Name	Drug_class	Drug_Pubchem_ID	Resistance_gene_class	Resistance_genes_involved	Bibliography
Kanamycin	Aminoglycosides	6032	Aminoglycoside modifying enzymes	aph(3)-II	PMID: 14506033
Meropenem	Beta Lactam	441130	Beta Lactamase	Bla(CTX-M-15)	PMID: 22252797
Meropenem	Beta Lactam	441130	Beta Lactamase	Bla(CMY-6)	PMID:2252797
Meropenem	Beta Lactam	441130	Beta Lactamase	Bla(NDM-4)	PMID: 22252797
Meropenem	Beta Lactam	441130	Beta Lactamase	Bla(NDM-1)	PMID: 25092693
Meropenem	Beta Lactam	441130	Beta Lactamase	Bla(NDM-12)	PMID: 25092693
Meropenem	Beta Lactam	441130	16S rRNA methylase	armA	PMID: 22252797
Minocycline	Polyketide	54675783	Efflux pump	yhiV	PMID: 21048014
Moxalactam	Beta lactam	47499	Beta Lactamase	Bla(NDM-1)	PMID: 25092693
Moxalactam	Beta lactam	47499	Beta Lactamase	Bla(NDM-12)	PMID: 25092693
Nalidixic Acid	Quinolone	4421	Horizontal Gene Transfer	Integron 1	PMID: 26889395
Nalidixic Acid	Quinolone	4421	Efflux pump/ Multi component system	EmrAB operon	PMID: 9710669
Nalidixic Acid	Quinolone	4421	Efflux pump	AcrAB efflux system	PMID: 8550435
Nalidixic Acid	Quinolone	4421	Efflux pump	marA	PMID: 21048014
Nalidixic Acid	Quinolone	4421	Efflux pump	EmrB	PMID: 1409590
Neomycin	Aminoglycosides	8378	Aminoglycoside modifying enzymes	aac(3)-IV	PMID: 19501867
Neomycin	Aminoglycosides	8378	Aminoglycoside modifying enzymes	aph(3)-Ia	PMID: 14506033
Neomycin	Aminoglycosides	8378	Aminoglycoside modifying enzymes	aph(3)-IIa	PMID: 14506033
Nitrofurantoin	Nitrofurans	6604200	Plasmid mediated Efflux Pump	oqxAB	PMID: 26552976
Norfloxacin	Quinolones	4539	Multidrug Efflux Pump	ydhE	PMID: 12615854
Novobiocin	Aminocoumarin	54675769	Response regulator which stimulate multidrug transporter ABC expression	BaeR	PMID: 12107133
Penicillin G	Beta Lactam	5904	Beta Lactamase	Bla(NDM-1)	PMID: 25092693
Penicillin G	Beta Lactam	5904	Beta Lactamase	Bla(NDM-12)	PMID: 25092693
Piperacillin	Beta Lactam	43672	Beta Lactamase	Bla(NDM-4)	PMID: 22252797
Polymyxin B	Cationic antimicrobial peptides	49800004	Two Component system	AcrAB-Tolc system	PMID: 19926649
Polymyxin B	Cationic antimicrobial peptides	49800004	Phosphorylation of undecaprenol	bacA	PMID: 8389741
Puromycin	Aminoglycosides	439530	Efflux pump	MdfA	PMID: 9079913
Rhodamine	Rhodamine	6694	Efflux pump	MdfA	PMID: 9079913
Rifampin	Polyketide	5381226	Efflux pump	MdfA	PMID: 9079913
Rifampin	Polyketide	5381226	Efflux pump	AcrAB efflux system	PMID: 8550435
Sitafloxacin	Quinolone	461399	Efflux Pump	MdfA	PMID: 21048014
Streptomycin	Aminoglycosides	19649	Aminoglycoside modifying enzymes	APH3 also known as strA	PMID: 9988047
Streptomycin	Aminoglycosides	19649	Aminoglycoside modifying enzymes	ant(3)-Ia (also known as aadA)	PMID: 21856840
Streptomycin	Aminoglycosides	19649	Aminoglycoside modifying enzymes	APH6 also known as strB	PMID: 9988047
Sulfadiazine	Sulfonamide	5215	Efflux pump	EmrE	PMID: 9710669
Sulfamethoxazole	Sulfonamide	5329	Dihydropteroate synthase	Sul1	PMID: 24423710
Sulfamethoxazole	Sulfonamide	5329	Dihydropteroate synthase	Sul2	PMID: 24423710
Sulfamethoxazole	Sulfonamide	5329	Dihydropteroate synthase	Sul3	PMID: 24423710
Telithromycin	Polyketide	3002190	Mutation	U2609C of 23S rRNA	PMID: 11698379
Telithromycin	Polyketide	3002190	Two Component system	AcrAB-TolC pump	PMID: 15328143
Tetracycline	Polyketide	54675776	Tetracycline resistance protein-Efflux Pump	tetA	PMID: 20374640
Tetracycline	Polyketide	54675776	Tetracycline resistance protein-Efflux Pump	tetB	PMID: 20374640
Tetracycline	Polyketide	54675776	Tetracycline resistance protein-Efflux Pump	tetC	PMID: 20374640
Tetracycline	Polyketide	54675776	Tetracycline resistance protein-Efflux Pump	tetD	PMID: 20374640
Tetracycline	Polyketide	54675776	Tetracycline resistance protein-Efflux Pump	tet E	PMID: 20374640
Tetracycline	Polyketide	54675776	Tetracycline resistance protein-Efflux Pump	tet G	PMID: 20374640
Tetracycline	Polyketide	54675776	Efflux pump	MdfA	PMID: 9079913
Tetracycline	Polyketide	54675776	Efflux pump	EmrE protein	PMID: 9710669
Tetracycline	Polyketide	54675776	Efflux pump	AcrAB efflux system	PMID: 8550435
Tetracycline	Polyketide	54675776	Horizontal Gene Transfer	Integron 1	PMID: 26889395
Thiolactomycin	Thiolactomycin	445629	Efflux pump/ Multi component system	EmrAB operon	PMID: 9710669
Ticarcillin	Beta Lactam	36921	Beta Lactamase	Bla(NDM-4)	PMID: 22252797
Tobramycin	Aminoglycosides	36294	Aminoglycoside modifying enzymes	aac(3)-IV	PMID: 6374024
Tobramycin	Aminoglycosides	36294	Aminoglycoside modifying enzymes	ant(2)-I (also known aadB)	PMID: 21856840
Trimethoprim	Anisoles	5578	Modification of enzyme Dihydrofolate reductase	dfrA1	PMID: 20374640
Trimethoprim	Anisoles	5578	Modification of enzyme Dihydrofolate reductase	dfrA9	PMID: 20374640
Trimethoprim	Anisoles	5578	Modification of enzyme Dihydrofolate reductase	dfrA12	PMID: 20374640
Trimethoprim	Anisoles	5578	Modification of enzyme Dihydrofolate reductase	dfrA13	PMID: 20374640
Trimethoprim	Anisoles	5578	Modification of enzyme Dihydrofolate reductase	dfr7	PMID: 20374640
Trimethoprim	Anisoles	5578	Modification of enzyme Dihydrofolate reductase	dfr17	PMID: 20374640
Trimethoprim	Anisoles	5578	Modification of enzyme Dihydrofolate reductase	dhfrV	PMID: 14506033
Trimethoprim	Anisoles	5578	Modification of enzyme Dihydrofolate reductase	dhfrXIII	PMID: 14506033
