Cefoxitin,Beta Lactam,441199,Beta lactamase,Bla(VIM-2),PMID: 15301681
Cefoxitin,Beta Lactam,441199,Beta lactamase,Bla(IBC-1),PMID: 15301681
Cefpirome,Beta Lactam,5479539,Beta lactamase,Bla(NDM-1),PMID: 25092693
Cefpirome,Beta Lactam,5479539,Beta lactamase,Bla(NDM-12),PMID: 25092693
Ceftazidime,Beta Lactam,5481173,Beta lactamase,Bla(NDM-1),PMID: 25092693
Ceftazidime,Beta Lactam,5481173,Beta lactamase,Bla(NDM-12),PMID: 25092693
Ceftazidime,Beta Lactam,5481173,Beta lactamase,Bla(NDM-4),PMID: 22252797
Ceftazidime,Beta Lactam,5481173,Horizontal gene transfer,Class 1 Integron,PMID: 26889395
Cefradine,Beta Lactam,38103,Beta lactamase,Bla(NDM-1),PMID: 25092693
Cefradine,Beta Lactam,38103,Beta lactamase,Bla(NDM-12),PMID: 25092693
Cefuroxime,Beta Lactam,5479529,Beta lactamase,Bla(NDM-4),PMID: 22252797
Ceftriaxone,Beta Lactam,5479530,Beta lactamase,Bla(NDM-1),PMID: 25092693
Ceftriaxone,Beta Lactam,5479530,Beta lactamase,Bla(NDM-12),PMID: 25092693
Ceftiofur,Beta Lactam,6328657,Beta lactamase,Bla(CMY-2),PMID: 16751500
Cethromycin,Polyketide,447451,Mutation,U2609C of 23S rRNA,PMID: 11698379
Chloramphenicol,Chloramphenicol,5959,Chloramphenicol acetyltransferase,catI,PMID: 20374640
Chloramphenicol,Chloramphenicol,5959,Chloramphenicol acetyltransferase,catII,PMID: 20374640
Chloramphenicol,Chloramphenicol,5959,Chloramphenicol acetyltransferase,catIII,PMID: 20374640
Chloramphenicol,Chloramphenicol,5959,Chloramphenicol acetyltransferase,cml,PMID: 20374640
Chloramphenicol,Chloramphenicol,5959,Efflux pump,MdfA,PMID: 9079913
Chloramphenicol,Chloramphenicol,5959,Efflux pump,AcrAB,PMID: 8550435
Chloramphenicol,Chloramphenicol,5959,Efflux pump,floR,PMID: 11101601
Ciprofloxacin,Fluoroquinolone,2764,Horizontal gene transfer,Class 1 Integron,PMID: 26889395
Ciprofloxacin,Quinolone,2764,Beta lactamase,Bla(CTX-M),PMID: 19402960
Ciprofloxacin,Quinolone,2764,Efflux pump,Mutation in gyrA ,PMID: 11083655
Ciprofloxacin,Quinolone,2764,Efflux pump,AcrAB,PMID: 11083655
Clarithromycin,Polyketide,84029,Two component system,AcrAB-TolC,PMID: 15328143
CO-Trimoxazole,Drug Cocktail,358641,Horizontal gene transfer,Class 1 Integron,PMID: 26889395
CO-Trimoxazole,Drug Cocktail,358641,Beta lactamase,Bla(CTX-M),PMID: 19402960
Daunomycin,Anthracycline,30323,Efflux pump,MdfA,PMID: 9079913
Doripenem,Beta Lactam,73303,Beta lactamase,Bla(NDM-1),PMID: 25092693
Doripenem,Beta Lactam,73303,Beta lactamase,Bla(NDM-12),PMID: 25092693
Ertapenem,Beta Lactam,150610,Beta lactamase,Bla(CTX-M-15),PMID: 22252797
Ertapenem,Beta Lactam,150610,Beta lactamase,Bla(CMY-6),PMID: 22252797
Ertapenem,Beta Lactam,150610,Beta lactamase,Bla(NDM-4),PMID: 22252797
Ertapenem,Beta Lactam,150610,16S rRNA methylase,armA,PMID: 22252797
Erythromycin,Polyketide,12560,Efflux pump,MdfA,PMID: 9079913
Erythromycin,Polyketide,12560,Efflux pump,EmrE,PMID: 9710669
Erythromycin,Polyketide,12560,Mutation,Mutations in ribosomal protein L4,PMID: 17956547
Erythromycin,Polyketide,12560,Mutation,Mutations in ribosomal protein L22,PMID: 17956547
Erythromycin,Polyketide,12560,Two component system,AcrAB-TolC,PMID: 15328143
Florfenicol,Florfenicol,114811,Efflux pump,floR,PMID: 15251195
Gentamicin,Aminoglycosides,3467,Aminoglycoside modifying enzymes,aac(3)-IV,PMID: 19501867
Gentamicin,Aminoglycosides,3467,Aminoglycoside modifying enzymes,ant(2)-I (also known aadB),PMID: 21856840
Gentamicin,Aminoglycosides,3467,Beta lactamase,Bla(CTX-M),PMID: 19402960
Hygromycin B,Aminoglycosides,35766,Aminoglycoside modifying enzymes,aph(4)-Ia,PMID: 21084294
Imipenem,Beta Lactam,104838,Beta lactamase,Bla(CTX-M-15),PMID: 22252797
Imipenem,Beta Lactam,104838,Beta lactamase,Bla(CMY-6),PMID: 22252797
Imipenem,Beta Lactam,104838,Beta lactamase,Bla(NDM-4),PMID: 22252797
Imipenem,Beta Lactam,104838,Beta lactamase,Bla(NDM-1),PMID: 25092693
Imipenem,Beta Lactam,104838,Beta lactamase,Bla(NDM-12),PMID: 25092693
Imipenem,Beta Lactam,104838,16S rRNA methylase,armA,PMID: 22252797
Kanamycin,Aminoglycosides,6032,Efflux pump,MdfA,PMID: 9079913
Kanamycin,Aminoglycosides,6032,Aminoglycoside modifying enzymes,aac(3)-IV,PMID: 19501867
Kanamycin,Aminoglycosides,6032,Aminoglycoside modifying enzymes,ant(2)-I (also known aadB),PMID: 21856840
Kanamycin,Aminoglycosides,6032,Aminoglycoside modifying enzymes,aph(3)-Ia,PMID: 14506033
Kanamycin,Aminoglycosides,6032,Aminoglycoside modifying enzymes,aph(3)-II,PMID: 14506033
Meropenem,Beta Lactam,441130,Beta lactamase,Bla(CTX-M-15),PMID: 22252797
Meropenem,Beta Lactam,441130,Beta lactamase,Bla(CMY-6),PMID:2252797
Meropenem,Beta Lactam,441130,Beta lactamase,Bla(NDM-4),PMID: 22252797
Meropenem,Beta Lactam,441130,Beta lactamase,Bla(NDM-1),PMID: 25092693
Meropenem,Beta Lactam,441130,Beta lactamase,Bla(NDM-12),PMID: 25092693
Meropenem,Beta Lactam,441130,16S rRNA methylase,armA,PMID: 22252797
Minocycline,Polyketide,54675783,Efflux pump,yhiV,PMID: 21048014
Moxalactam,Beta Lactam,47499,Beta lactamase,Bla(NDM-1),PMID: 25092693
Moxalactam,Beta Lactam,47499,Beta lactamase,Bla(NDM-12),PMID: 25092693
Nalidixic Acid,Quinolone,4421,Horizontal gene transfer,Class 1 Integron,PMID: 26889395
Nalidixic Acid,Quinolone,4421,Two component system,EmrAB,PMID: 9710669
Nalidixic Acid,Quinolone,4421,Two component system,AcrAB,PMID: 8550435
Nalidixic Acid,Quinolone,4421,Efflux pump,marA,PMID: 21048014
Nalidixic Acid,Quinolone,4421,Efflux pump,EmrB,PMID: 1409590
Neomycin,Aminoglycosides,8378,Aminoglycoside modifying enzymes,aac(3)-IV,PMID: 19501867
Neomycin,Aminoglycosides,8378,Aminoglycoside modifying enzymes,aph(3)-Ia,PMID: 14506033
Neomycin,Aminoglycosides,8378,Aminoglycoside modifying enzymes,aph(3)-IIa,PMID: 14506033
Nitrofurantoin,Nitrofurans,6604200,Efflux pump,oqxAB,PMID: 26552976
Norfloxacin,Fluoroquinolone,4539,Efflux pump,ydhE,PMID: 12615854
Novobiocin,Aminocoumarin,54675769,Response regulator which stimulate multidrug transporter ABC expression,BaeR,PMID: 12107133
Penicillin G,Beta Lactam,5904,Beta lactamase,Bla(NDM-1),PMID: 25092693
Penicillin G,Beta Lactam,5904,Beta lactamase,Bla(NDM-12),PMID: 25092693
Piperacillin,Beta Lactam,43672,Beta lactamase,Bla(NDM-4),PMID: 22252797
Polymyxin B,Peptide Drug,49800004,Two component system,AcrAB-TolC,PMID: 19926649
Polymyxin B,Peptide Drug,49800004,Phosphorylation of undecaprenol,bacA,PMID: 8389741
Puromycin,Aminoglycosides,439530,Efflux pump,MdfA,PMID: 9079913
Rhodamine,Rhodamine,6694,Efflux pump,MdfA,PMID: 9079913
Rifampin,Polyketide,5381226,Efflux pump,MdfA,PMID: 9079913
Rifampin,Polyketide,5381226,Two component system,AcrAB,PMID: 8550435
Sitafloxacin,Fluoroquinolone,461399,Efflux pump,MdfA,PMID: 21048014
Streptomycin,Aminoglycosides,19649,Aminoglycoside modifying enzymes,aph(3) also known as strA,PMID: 9988047
Streptomycin,Aminoglycosides,19649,Aminoglycoside modifying enzymes,ant(3)-Ia,PMID: 21856840
Streptomycin,Aminoglycosides,19649,Aminoglycoside modifying enzymes,aph(6) also known as strB,PMID: 9988047
Sulfadiazine,Sulfonamide,5215,Efflux pump,EmrE,PMID: 9710669
Sulfamethoxazole,Sulfonamide,5329,Dihydropteroate synthase,Sul1,PMID: 24423710
Sulfamethoxazole,Sulfonamide,5329,Dihydropteroate synthase,Sul2,PMID: 24423710
Sulfamethoxazole,Sulfonamide,5329,Dihydropteroate synthase,Sul3,PMID: 24423710
Telithromycin,Polyketide,3002190,Mutation,U2609C of 23S rRNA,PMID: 11698379
Telithromycin,Polyketide,3002190,Two component system,AcrAB-TolC,PMID: 15328143
Tetracycline,Polyketide,54675776,Efflux pump,tetA,PMID: 20374640
Tetracycline,Polyketide,54675776,Efflux pump,tetB,PMID: 20374640
Tetracycline,Polyketide,54675776,Efflux pump,tetC,PMID: 20374640
Tetracycline,Polyketide,54675776,Efflux pump,tetD,PMID: 20374640
Tetracycline,Polyketide,54675776,Efflux pump,tetE,PMID: 20374640
Tetracycline,Polyketide,54675776,Efflux pump,tetG,PMID: 20374640
Tetracycline,Polyketide,54675776,Efflux pump,MdfA,PMID: 9079913
Tetracycline,Polyketide,54675776,Efflux pump,EmrE,PMID: 9710669
Tetracycline,Polyketide,54675776,Efflux pump,AcrAB,PMID: 8550435
Tetracycline,Polyketide,54675776,Horizontal gene transfer,Class 1 Integron,PMID: 26889395
Thiolactomycin,Thiolactomycin,445629,Two component system,EmrAB,PMID: 9710669
Ticarcillin,Beta Lactam,36921,Beta lactamase,Bla(NDM-4),PMID: 22252797
Tobramycin,Aminoglycosides,36294,Aminoglycoside modifying enzymes,aac(3)-IV,PMID: 6374024
Tobramycin,Aminoglycosides,36294,Aminoglycoside modifying enzymes,ant(2)-I (also known aadB),PMID: 21856840
Trimethoprim,Anisoles,5578,Modification of enzyme Dihydrofolate reductase,dfrA1,PMID: 20374640
Trimethoprim,Anisoles,5578,Modification of enzyme Dihydrofolate reductase,dfrA9,PMID: 20374640
Trimethoprim,Anisoles,5578,Modification of enzyme Dihydrofolate reductase,dfrA12,PMID: 20374640
Trimethoprim,Anisoles,5578,Modification of enzyme Dihydrofolate reductase,dfrA13,PMID: 20374640
Trimethoprim,Anisoles,5578,Modification of enzyme Dihydrofolate reductase,dfr7,PMID: 20374640
Trimethoprim,Anisoles,5578,Modification of enzyme Dihydrofolate reductase,dfr17,PMID: 20374640
Trimethoprim,Anisoles,5578,Modification of enzyme Dihydrofolate reductase,dhfrV,PMID: 14506033
Trimethoprim,Anisoles,5578,Modification of enzyme Dihydrofolate reductase,dhfrXIII,PMID: 14506033
Drug_Name,Drug_class,Drug_Pubchem_ID,Resistance_gene_class,Resistance_genes_involved,Bibliography
Amikacin,Aminoglycoside,37768,Beta lactamase,Bla(GES-18),PMID: 23114760
Amikacin,Aminoglycoside,37768,Aminoglycoside acetyltransferase,AAC(6')-I,PMID: 8655211
Amikacin,Aminoglycoside,37768,Aminoglycoside nucleotidyltransferase,ANT(4')-II,PMID: 15673721
Ampicillin,Beta lactam,6249,Beta lactamase,Bla(AmpC),PMID: 11823954
Azlocillin,Beta lactam,6479523,Efflux Pump,MexAB-OprM,PMID: 6821455
Aztreonam,Beta lactam,5742832,Outer Membrane Protein,OprM,PMID: 7793866
Aztreonam,Beta lactam,5742832,Efflux Pump,MexAB-OprM,PMID: 18676884
Aztreonam,Beta lactam,5742832,Beta lactamase,Bla(OXA-18),PMID: 11869272
Carbenicillin,Beta lactam,20824,Efflux Pump,MexAB-OprM,PMID: 18676884
Carbenicillin,Beta lactam,20824,Efflux Pump,MexCD-OprM,PMID: 8585714
Cefoperazone,Beta lactam,44187,Outer Membrane Protein,OprM,PMID: 7793866
Cefoperazone,Beta lactam,44187,Efflux Pump,MexCD-OprJ,PMID: 11895293
Cefepime,Beta lactam,5479537,Beta lactamase,Bla(TEM-42),PMID: 11869272
Cefepime,Beta lactam,5479537,Beta lactamase,Bla(SHV-2a),PMID: 11869272
Cefepime,Beta lactam,5479537,Beta lactamase,Bla(PER-I),PMID: 11869272
Cefepime,Beta lactam,5479537,Efflux Pump,MexAB-OprM,PMID: 10223959
Cefepime,Beta lactam,5479537,Efflux Pump,MexCD-OprJ,PMID: 11869272
Cefoxitin,Beta lactam,441199,Beta lactamase,Bla(AmpC),PMID: 9738828
Cefozopran,Beta lactam,9571080,Outer Membrane Protein,OprM,PMID: 7793866
Cefozopran,Beta lactam,9571080,Efflux Pump,MexAB-OprM,PMID: 10223959
Cefozopran,Beta lactam,9571080,Efflux Pump,MexCD-OprJ,PMID: 9687387
Cefozopran,Beta lactam,9571080,Outer Membrane Protein,OprJ,PMID: 7793866
Cefpirome,Beta lactam,5479539,Outer Membrane Protein,OprM,PMID: 7793866
Cefpirome,Beta lactam,5479539,Beta lactamase,Bla(TEM-42),PMID: 11869272
Cefpirome,Beta lactam,5479539,Beta lactamase,Bla(SHV-2a),PMID: 11869272
Cefpirome,Beta lactam,5479539,Beta lactamase,Bla(PER-I),PMID: 11869272
Cefpirome,Beta lactam,5479539,Efflux Pump,MexAB-OprM,PMID: 10223959
Cefpirome,Beta lactam,5479539,Efflux Pump,MexCD-OprJ,PMID: 11869272
Cefsulodin,Beta lactam,656575,Outer Membrane Protein,OprM,PMID: 7793866
Cefsulodin,Beta lactam,656575,Efflux Pump,MexAB-OprM,PMID: 11083635
Cefsulodin,Beta lactam,656575,Efflux Pump,MexCD-OprJ,PMID: 11083635
Ceftazidime,Beta lactam,5481173,Beta lactamase,Bla(TEM-42),PMID: 11869272
Ceftazidime,Beta lactam,5481173,Beta lactamase,Bla(SHV-2a),PMID: 11869272
Ceftazidime,Beta lactam,5481173,Beta lactamase,Bla(PER-I),PMID: 11869272
Ceftazidime,Beta lactam,5481173,Beta lactamase,Bla(OXA-18),PMID: 11869272
Ceftazidime,Beta lactam,5481173,Beta lactamase,Bla(BEL-1),PMID: 19884378
Ceftazidime,Beta lactam,5481173,Beta lactamase,Bla(IMP-1),PMID: 12830405
Ceftazidime,Beta lactam,5481173,Outer Membrane Protein,OprM,PMID: 7793866
Ceftazidime,Beta lactam,5481173,Efflux Pump,MexAB-OprM,PMID: 11083635
Cephalothin,Beta lactam,6024,Beta lactamase,Bla(AmpC),PMID: 11823954
Cerulenin,Cerulenin,5282054,Efflux Pump,MexCD-OprJ,PMID: 9527792
Cerulenin,Cerulenin,5282054,Efflux Pump,MexAB-OprM,PMID: 9527792
Chloramphenicol,Chloramphenicol,5959,Efflux Pump,MexAB-OprK,PMID: 8226684
Chloramphenicol,Chloramphenicol,5959,Efflux Pump,MexAB-OprM,PMID: 9527792
Chloramphenicol,Chloramphenicol,5959,Efflux Pump,MexEF-OprN,PMID: 11158756
Ciprofloxacin,Quinolones,2764,Efflux Pump,MexAB-OprK,PMID: 8226684
Ciprofloxacin,Quinolones,2764,Outer Membrane Protein,OprM,PMID: 7793866
Ciprofloxacin,Quinolones,2764,Beta lactamase,Bla(GES-18),PMID: 23114760
Ciprofloxacin,Quinolones,2764,Beta lactamase,Bla(IMP-1),PMID: 12830405
Co-amoxiclav,Co-amoxiclav,23665637,Beta lactamase,Bla(AmpC),PMID: 9738828
Erythromycin,Polyketide,12560,Efflux Pump,MexAB-OprM,PMID: 9527792
Erythromycin,Polyketide,12560,Efflux Pump,MexCD-OprJ,PMID: 11158756
Erythromycin,Polyketide,12560,Efflux Pump,MexXY,PMID: 11158756
Fleroxacin,Quinolones,3357,Outer Membrane Protein,OprM,PMID: 7793866
Flomoxef,Beta lactam,3357,Efflux Pump,MexAB-OprM,PMID: 11083635
Flomoxef,Beta lactam,3357,Efflux Pump,MexCD-OprJ,PMID: 11083635
Fluoroquinolones,Fluoroquinolone,134224092,Efflux Pump,MexAB-OprM,PMID: 9527792
Fusidic Acid,Fusidic Acid,3000226,Efflux Pump,MexAB-OprM,PMID: 9527792
Gentamicin,Aminoglycoside,3467,Outer Membrane Protein,OprH,PMID: 6259125
Gentamicin,Aminoglycoside,3467,Genomic Locus,amrAB locus and amrAB gene,PMID: 10582892
Gentamicin,Aminoglycoside,3467,Aminoglycoside nucleotidyltransferase,"ANT(2"")-I",PMID: 15673721
Gentamicin,Aminoglycoside,3467,Aminoglycoside phosphoryltransferase ,"APH(2"")",PMID: 8655211
Gentamicin,Aminoglycoside,3467,Beta lactamase,Bla(IMP-1),PMID: 12830405
Gentamicin,Aminoglycoside,3467,Beta lactamase,Bla(GES-18),PMID: 23114760
Imipenem,Beta lactam,104838,Outer Membrane Protein,OprD,PMID: 10223918
Imipenem,Beta lactam,104838,Outer Membrane Protein,MexT,PMID: 10223918
Imipenem,Beta lactam,104838,Efflux Pump,MexAB-OprM,PMID: 17483142
Imipenem,Beta lactam,104838,Efflux Pump,MexXY-OprM,PMID: 17483142
Imipenem,Beta lactam,104838,Beta lactamase,VIM-2,PMID: 11897589
Imipenem,Beta lactam,104838,Beta lactamase,VIM-4,PMID: 17483142
Imipenem,Beta lactam,104838,Beta lactamase,Bla(IMP-1),PMID: 12830405
Imipenem,Beta lactam,104838,Beta lactamase,Bla(P1b),PMID: 17483142
Imipenem,Beta lactam,104838,Aminoglycoside acetyltransferase,AAC(6’)-Ib,PMID: 17483142
Imipenem,Beta lactam,104838,Beta lactamase,OXA-35,PMID: 17483142
Imipenem,Beta lactam,104838,Beta lactamase,IMP1,PMID: 11869272
Imipenem,Beta lactam,104838,Beta lactamase,GES-18,PMID: 23114760
Isepamicin,Aminoglycoside,3037209,Aminoglycoside phosphoryltransferase,APH(3')-VI ,PMID: 8655211
Isepamicin,Aminoglycoside,3037209,Aminoglycoside nucleotidyltransferase,ANT(4')-II,PMID: 15673721
Kanamycin,Aminoglycoside,6032,Aminoglycoside phosphoryltransferase,APH(3')-IIb,PMID: 15673721
Lomefloxacin,Quinolones,3948,Outer Membrane Protein,OprM,PMID: 7793866
Meropenem,Beta lactam,441130,Outer Membrane Protein,OprM,PMID: 7793866
Meropenem,Beta lactam,441130,Efflux Pump,MexAB-OprM,PMID: 17483142
Meropenem,Beta lactam,441130,Efflux Pump,MexXY-OprM,PMID: 17483142
Meropenem,Beta lactam,441130,Beta lactamase,VIM-4,PMID: 17483142
Meropenem,Beta lactam,441130,Beta lactamase,GES-18,PMID: 23114760
Meropenem,Beta lactam,441130,Beta lactamase,P1b,PMID: 17483142
Meropenem,Beta lactam,441130,Beta lactamase,AAC(6’)-Ib,PMID: 17483142
Meropenem,Beta lactam,441130,Beta lactamase,OXA-35,PMID: 17483142
Meropenem,Beta lactam,441130,Beta lactamase,IMP1,PMID: 11869272
Meropenem,Beta lactam,441130,Beta lactamase,NDM-1,PMID: 30271939
Moxalactam,Beta lactam,47499,Efflux Pump,MexAB-OprM,PMID: 11083635
Nalidixic Acid,Quinolones,4421,Efflux Pump,MexAB-OprK,PMID: 8226684
Netilmicin,Aminoglycoside,441306,Aminoglycoside acetyltransferase,AAC(6')-I,PMID: 8655211
Norfloxacin,Quinolones,4539,Outer Membrane Protein,OprM,PMID: 7793866
Novobiocin,Aminocoumarin,54675769,Efflux Pump,MexAB-OprM,PMID: 9527792
Novobiocin,Aminocoumarin,54675769,Efflux Pump,MexCD-OprJ,PMID: 11083635
Penicillin G,Beta lactam,5904,Beta lactamase,Bla(AmpC),PMID: 11869272
Pipemidic Acid,Pyridopyrimidine,4831,Efflux Pump,MexAB-OprM,PMID: 6821455
Rifampin,Polyketide,5381226,Efflux Pump,MexAB-OprM,PMID: 9527792
Sparfloxacin,Quinolones,60464,Outer Membrane Protein,OprM,PMID: 7793866
Streptomycin,Aminoglycoside,19649,Aminoglycoside nucleotidyltransferase,"ANT(3"")",PMID: 15673721
Streptonigrin,Aminoquinone,5351165,Efflux Pump,MexAB-OprK,PMID: 8226684
Sulbenicillin,Beta lactam,20055036,Efflux Pump,MexAB-OprM,PMID: 11083635
Sulfamethoxazole,Sulfonamide,5329,Outer Membrane Protein,OprM,PMID: 9036831
Tetracycline,Polyketide,54675776,Efflux Pump,MexAB-OprK,PMID: 8226684
Tetracycline,Polyketide,54675776,Efflux Pump,MexAB-OprM,PMID: 9527792
Tetracycline,Polyketide,54675776,Efflux Pump,MexXY,PMID: 11158756
Thiolactomycin,Thiolactomycin,445629,Efflux Pump,MexAB-OprM,PMID: 9527792
Ticarcillin,Beta lactam,36921,Beta lactamase,Bla(BEL-1),PMID: 19884378
Tigecycline,Polyketide,54686904,Efflux Pump,MexXY,PMID: 12604529
Tobramycin,Aminoglycoside,36294,Beta lactamase,Bla(GES-18),PMID: 23114760
Tobramycin,Aminoglycoside,36294,Aminoglycoside acetyltransferase,AAC(6')-I,PMID: 8655211
Tobramycin,Aminoglycoside,36294,Aminoglycoside phosphoryltransferase,"APH(2"")",PMID: 8655211
Tobramycin,Aminoglycoside,36294,Aminoglycoside nucleotidyltransferase,"ANT(2"")-I",PMID: 15673721
Tobramycin,Aminoglycoside,36294,Aminoglycoside nucleotidyltransferase,ANT(4')-II,PMID: 15673721
Tosufloxacin,Quinolones,5517,Outer Membrane Protein,OprM,PMID: 7793866
Triclosan,Triclosan,5564,Efflux Pump,MexAB-OprM,PMID: 9527792
Triclosan,Triclosan,5564,Efflux Pump,MexCD-OprJ,PMID: 11158736
Triclosan,Triclosan,5564,Efflux Pump,TriABC,PMID: 17720796
Trimethoprim,Anisoles,5578,Outer Membrane Protein,OprM,PMID: 9036831
Trimethoprim,Anisoles,5578,Outer Membrane Protein,OprJ,PMID: 9036831
Trimethoprim,Anisoles,5578,Efflux Pump,MexAB-OprM,PMID: 11895293
Trimethoprim,Anisoles,5578,Efflux Pump,MexEF-OprN,PMID: 11158756
